Method	Basic	C-and-B
8-3	16.0159036636	14.4334033012
8-6	1232.4658120158	551.7008922584
9-3	58.0778416634	38.4881554127
9-6	9929.9620738638	8036.905229138
10-3	300.2487492089	203.8396135808
10-6	1116.1676713938	988.954415511
